CUE,Nombre,Domicilio,Sendero,Ambito,BARRIO,Comuna,DE,X,Y,y_lat,x_long
200249,Jardin de Infantes Nucleado A DE 01º (EPC 09),Tte. Gral. Juan D. Peron 1140,SE01AA,publica,SAN NICOLAS,1,1,107396,102547,-34.606284,-58.382666
200869,Esc. Primaria Comun Nº 09 DE 01º Familia de Cabezon,Tte. Gral. Juan D. Peron 1140,SE01AA,publica,SAN NICOLAS,1,1,107396,102547,-34.606284,-58.382666
200867,Instituto Raul Scalabrini Ortiz,Bartolome Mitre 970,SE01AA,privada,SAN NICOLAS,1,1,107619,102429,-34.607339,-58.380237
201524,Esc. de Comercio Nº 04 Baldomero Fernandez Moreno,Peru 1357,SE01AB,publica,SAN TELMO,1,3,108171,100592,-34.623901,-58.374198
201751,Esc. Primaria Comun Nº 27 DE 04º Dean Funes,Defensa 1431,SE01AB,publica,SAN TELMO,1,4,108431,100507,-34.624666,-58.371362
201615,Instituto Maria Auxiliadora,Av. Brasil 559 - Av. Juan de Garay 556,SE01AB,privada,SAN TELMO,1,4,108241,100515,-34.624595,-58.373434
200055,Instituto Integral del Sud,Defensa 1318,SE01AB,privada,SAN TELMO,1,4,108453,100657,-34.623313,-58.371123
200509,Esc. Tecnica Nº 12 Libertador Gral. Jose de San Martin,Av. del Libertador 238,SE01AC,publica,RETIRO,1,1,107893,104140,-34.591923,-58.377276
200584,Inst. de Ens. Superior en Lenguas Vivas Juan Ramon Fernandez (sede),Carlos Pellegrini 1455/1515,SE01AC,publica,RETIRO,1,1,107514,104251,-34.590806,-58.381358
200525,Instituto Incorporado Josefa Capdevilla de Gutierrez,Arroyo 931,SE01AC,privada,RETIRO,1,1,107589,104202,-34.591345,-58.380575
200071,Esc. Primaria Comun Nº 14 DE 03º Gral. Mariano Necochea,Pdte. Luis Saenz Peña 463,SE01AD,publica,MONSERRAT,1,3,106940,101667,-34.61422,-58.38763
202238,Jardin de Infantes Integral Nº 04 DE 03º El Jardin del Manzano,Mexico 1627/1629,SE01AD,publica,MONSERRAT,1,3,106777,101528,-34.615474,-58.389406
201146,Colegio Los Robles,Av. Belgrano 1548,SE01AD,privada,MONSERRAT,1,3,106898,101715,-34.613788,-58.388088
200650,Colegio Don Bosco,Solis 252,SE01AD,privada,MONSERRAT,1,3,106705,101917,-34.611968,-58.390194
202766,Escuela Infantil Cauce XXI,Solis 480,SE01AD,privada,MONSERRAT,1,3,106702,101632,-34.614537,-58.390225
